TEXT-ID,SOURCE-ID,RECORDING-ID,SUBCORPUS,PRS-ID,SEX,AGE,1LANG,DIALECT,EDUCATION,PERM-RESD,CHILD-RESD,SENTENCES,WORDS
Rog-Go1-Gos279,Gos279,NZteljprij-bo1001202100.wav,Gos,Lm-prij-09515,moški,10 do 18 let,slovenščina,-,OŠ ali manj,osrednjeslovenska,-,2,39
Rog-Go1-Gos279,Gos279,NZteljprij-bo1001202100.wav,Gos,Sm-prij-09516,moški,10 do 18 let,slovenščina,-,OŠ ali manj,osrednjeslovenska,-,3,15
Rog-Go2-Gos280,Gos280,NZteljsoro-bo0910042000.wav,Gos,Af-soro-09512,ženski,nad 60 let,slovenščina,-,srednja šola,osrednjeslovenska,-,39,475
Rog-Go2-Gos280,Gos280,NZteljsoro-bo0910042000.wav,Gos,Mf-soro-09513,ženski,nad 60 let,slovenščina,-,srednja šola,osrednjeslovenska,-,41,398
Rog-Go1-Gos281,Gos281,NZteljsoro-mj1004062313.wav,Gos,Mm-soro-00809,moški,18 do 34 let,slovenščina,-,srednja šola,osrednjeslovenska,-,9,105
Rog-Go1-Gos281,Gos281,NZteljsoro-mj1004062313.wav,Gos,Jm-soro-00810,moški,18 do 34 let,slovenščina,-,srednja šola,osrednjeslovenska,-,8,93
Rog-Go1-Gos282,Gos282,NZtembprij-is0905042048.wav,Gos,If-prij-01073,ženski,18 do 34 let,slovenščina,-,srednja šola,"koroška, podravska, savinjska",-,7,134
Rog-Go1-Gos282,Gos282,NZtembprij-is0905042048.wav,Gos,Uf-prij-01074,ženski,18 do 34 let,slovenščina,-,višja ali visoka šola,"koroška, obalno-kraška",-,2,6
Rog-Go1-Gos283,Gos283,NZtemsprij-jt0904290221.wav,Gos,Nm-prij-06006,moški,18 do 34 let,slovenščina,-,srednja šola,pomurska,-,4,75
Rog-Go1-Gos283,Gos283,NZtemsprij-jt0904290221.wav,Gos,Mm-prij-06005,moški,18 do 34 let,slovenščina,-,srednja šola,pomurska,-,6,164
Rog-Go1-Gos284,Gos284,NZtemssoro-jt0904290045.wav,Gos,Mf-otro-06004,ženski,30 do 59 let,slovenščina,-,srednja šola,pomurska,-,1,2
Rog-Go1-Gos284,Gos284,NZtemssoro-jt0904290045.wav,Gos,Zf-star-06003,ženski,30 do 59 let,slovenščina,-,srednja šola,pomurska,-,7,93
Rog-Go1-Gos285,Gos285,NZtenmprij-tp1002082041.wav,Gos,Am-prij-07100,moški,18 do 34 let,slovenščina,-,srednja šola,"osrednjeslovenska, jugovzhodna Slovenija",-,13,90
Rog-Go1-Gos285,Gos285,NZtenmprij-tp1002082041.wav,Gos,Bf-prij-07101,ženski,10 do 18 let,slovenščina,-,OŠ ali manj,jugovzhodna Slovenija,-,7,39
Rog-Go1-Gos286,Gos286,NZtenmprij-tp1002082044.wav,Gos,Am-prij-07102,moški,18 do 34 let,slovenščina,-,srednja šola,"savinjska, osrednjeslovenska",-,7,94
Rog-Go1-Gos286,Gos286,NZtenmprij-tp1002082044.wav,Gos,Bm-prij-07103,moški,18 do 34 let,slovenščina,-,srednja šola,"jugovzhodna Slovenija, osrednjeslovenska",-,7,75
Rog-Go1-Gos287,Gos287,NZtesgprij-is0905111918.wav,Gos,Bm-prij-01072,moški,18 do 34 let,slovenščina,-,višja ali visoka šola,"pomurska, koroška, podravska",-,11,47
Rog-Go1-Gos287,Gos287,NZtesgprij-is0905111918.wav,Gos,Bf-prij-01071,ženski,18 do 34 let,slovenščina,-,fakulteta ali več,"koroška, osrednjeslovenska",-,10,84
Rog-Art-J-Gvecg-P500001,Artur-J-Gvecg-P500001,Artur-J-Gvecg-P500001-avd.wav,Artur-J,Artur-J-G3003,moški,30 do 59 let,slovenščina,standardni jezik,fakulteta ali več,osrednjeslovenska,-,37,967
Rog-Art-J-Gvecg-P500002,Artur-J-Gvecg-P500002,Artur-J-Gvecg-P500002-avd.wav,Artur-J,Artur-J-G3002,ženski,30 do 59 let,slovenščina,standardni jezik,fakulteta ali več,-,-,40,819
